Action,Property Type,Property Name,Property Description,Property Value Type,Property Schema Status,Property Visibility,Property Is Array,Property Value Type,String Property Value Min Length,String Property Value Max Length,Number Is Integer,Number Property Value Min,Number Property Value Max,Array Unique Items,Array Min Items,Array Max Items,Enum Values,Const Value,Property Regex,Property First Seen,Property Last Seen
,User Property,[Mutiny] Email only signup_Large,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-09-27,2025-06-06
,User Property,[Mutiny] Email only signup_Medium,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-09-27,2025-06-07
,User Property,[Mutiny] Email only signup_Small,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-09-27,2025-06-07
,User Property,[Mutiny] Email only signup_Tech,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-09-24,2025-05-30
,User Property,[Mutiny] Email only signup_Unidentified company size,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2018-09-27,2025-06-07
,User Property,[Mutiny] Finance homepage_Financial Services (SFDC),,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2021-03-04,2025-06-07
,User Property,[Mutiny] Fintech Exit Modal on the Blog_Fintech Blog Readers,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-03-14,2025-06-06
IGNORE,User Property,[Mutiny] GA Questions Blog ABM_FY23 Q1 AMER ENT Land Efficient Growth ABM (Digital Transformer),,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2023-04-14,2024-11-07
IGNORE,User Property,[Mutiny] GA Questions Blog ABM_FY23 Q1 AMER ENT Land Google Analytics ABM - All,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2023-04-26,2024-11-05
IGNORE,User Property,[Mutiny] GA4 FAQ Blog ABM_FY23 Q1 AMER ENT Land Efficient Growth ABM (Digital Transformer),,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2023-05-02,2024-09-23
,User Property,[Mutiny] get-started_B2B Companies (SFDC),,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2019-06-28,2025-06-07
,User Property,[Mutiny] get-started_Consumer Tech (SFDC),,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2019-07-02,2025-06-07
,User Property,[Mutiny] get-started_E-Comm/Marketplace (SFDC),,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2019-07-01,2025-06-05
,User Property,[Mutiny] get-started_Financial Services (SFDC),,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2019-07-02,2024-10-02
,User Property,[Mutiny] get-started_Media (SFDC),,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2019-07-02,2025-06-02
IGNORE,User Property,[Mutiny] Home Depot_Home Depot,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2023-09-21,2023-09-26
IGNORE,User Property,[Mutiny] Homepage + All Pages_Home Depot 1:1 Page,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2023-07-19,2024-04-18
